time,open,high,low,close,Volume
1761747300,4017.08,4020.02,4014.39,4016.785,16040
1761748200,4016.775,4021.06,4009.215,4010.265,14383
1761749100,4010.255,4015.13,4007.19,4008.45,15514
1761750000,4008.45,4012.025,4004.565,4009.495,17718
1761750900,4009.5,4010.13,4001.61,4006.67,16222
1761751800,4006.675,4008.915,4002.9,4004.11,9740
1761752700,4004.105,4004.11,3989.52,3993.1,19778
1761753600,3993.225,3999.725,3991.435,3997.48,13115
1761754500,3997.46,4001.24,3996.145,3998.645,9187
1761755400,3998.6,3998.74,3993.165,3995.21,7956
1761756300,3995.18,4000.005,3992.195,3992.865,7368
1761757200,3992.795,3997.9,3989.4,3997.9,10448
1761758100,3997.875,3997.94,3985.98,3987.075,11614
1761759000,3987.085,3995.425,3986.4,3992.06,7145
1761759900,3991.91,3995.99,3991.505,3994.84,3114
1761760800,3994.9,4007.875,3978.655,3983.285,28523
1761761700,3983.32,3989.595,3976.79,3981.14,15053
1761762600,3981.385,3989.83,3942.71,3954.245,37204
1761763500,3954.335,3972.755,3947.85,3969.4,30717
1761764400,3969.315,3979.9,3953.54,3970.62,24524
1761765300,3970.68,3974.755,3951.4,3953.39,19026
1761766200,3953.515,3954.82,3927.86,3929.19,21828
1761767100,3929.18,3949.74,3929.135,3945.825,22040
1761768000,3945.845,3949.7,3932.68,3941.25,9034
1761768900,3941.285,3954.375,3937.245,3948.915,6857
1761769800,3948.93,3950.435,3935.275,3936.46,6390
1761770700,3936.43,3941.38,3927.955,3930.615,5301
1761775200,3921.61,3939.875,3916.59,3937.825,4327
1761776100,3937.85,3945.045,3924.96,3937.36,5727
1761777000,3937.48,3942.41,3931.44,3941.395,4752
1761777900,3941.57,3948.515,3940.61,3941.45,3957
1761778800,3941.46,3948.76,3939.695,3946.255,4580
1761779700,3946.25,3951.27,3943.96,3950.455,3319
1761780600,3950.47,3950.77,3944.135,3945.115,2609
1761781500,3945.11,3954.335,3941.225,3952.975,4519
1761782400,3952.93,3963.49,3952.1,3956.775,6893
1761783300,3956.75,3964.36,3955.115,3959.995,3664
1761784200,3960,3960.16,3941.38,3942.035,4816
1761785100,3942.02,3953.745,3938.09,3950.48,7877
1761786000,3950.485,3966.8,3945.615,3950.68,10406
1761786900,3950.67,3957.465,3945.24,3950.44,10935
1761787800,3950.43,3960.02,3947.82,3957.89,9182
1761788700,3957.895,3958.65,3945.845,3948.15,8246
1761789600,3948.09,3948.445,3926.28,3936.775,13014
1761790500,3936.78,3938.58,3932.48,3934.01,6885
1761791400,3934.24,3942.175,3930.795,3936.995,7956
1761792300,3937,3938.58,3921.825,3921.96,7591
1761793200,3922.055,3929.7,3915.52,3929.01,10630
1761794100,3928.965,3934.935,3926.04,3933.035,9262
1761795000,3933.08,3937.65,3931.78,3932.76,6398
1761795900,3932.735,3938.305,3929.925,3938.21,4800
1761796800,3938.235,3943.835,3934.735,3943.445,6564
1761797700,3943.24,3959.61,3941.545,3959.61,6373
1761798600,3959.605,3982.665,3958.7,3978.995,12645
